,DiaSemana,Data,TipoMovimento,Model
0,Segunda-Feira,2011-04-11,Brush_teeth,False
1,Segunda-Feira,2011-04-11,Brush_teeth,False
2,Segunda-Feira,2011-05-30,Brush_teeth,False
3,Segunda-Feira,2011-05-30,Brush_teeth,False
4,Segunda-Feira,2011-05-30,Brush_teeth,False
5,Segunda-Feira,2011-05-30,Brush_teeth,False
6,Segunda-Feira,2011-05-30,Brush_teeth,False
7,Terça-Feira,2011-05-31,Brush_teeth,False
8,Quinta-Feira,2011-06-02,Brush_teeth,False
9,Quinta-Feira,2011-06-02,Brush_teeth,False
10,Segunda-Feira,2011-06-06,Brush_teeth,False
11,Segunda-Feira,2011-06-06,Brush_teeth,False
12,Quinta-Feira,2011-03-24,Climb_stairs,False
13,Quinta-Feira,2011-03-24,Climb_stairs,False
14,Terça-Feira,2011-03-29,Climb_stairs,False
15,Terça-Feira,2011-04-05,Climb_stairs,False
16,Terça-Feira,2011-04-05,Climb_stairs,False
17,Segunda-Feira,2011-04-11,Climb_stairs,False
18,Segunda-Feira,2011-04-11,Climb_stairs,False
19,Segunda-Feira,2011-04-11,Climb_stairs,False
20,Segunda-Feira,2011-05-30,Climb_stairs,False
21,Segunda-Feira,2011-05-30,Climb_stairs,False
22,Segunda-Feira,2011-05-30,Climb_stairs,False
23,Segunda-Feira,2011-05-30,Climb_stairs,False
24,Segunda-Feira,2011-05-30,Climb_stairs,False
25,Segunda-Feira,2011-05-30,Climb_stairs,False
26,Segunda-Feira,2011-05-30,Climb_stairs,False
27,Segunda-Feira,2011-05-30,Climb_stairs,False
28,Segunda-Feira,2011-05-30,Climb_stairs,False
29,Segunda-Feira,2011-05-30,Climb_stairs,False
30,Segunda-Feira,2011-05-30,Climb_stairs,False
31,Segunda-Feira,2011-05-30,Climb_stairs,False
32,Segunda-Feira,2011-05-30,Climb_stairs,False
33,Segunda-Feira,2011-05-30,Climb_stairs,False
34,Segunda-Feira,2011-05-30,Climb_stairs,False
35,Terça-Feira,2011-05-31,Climb_stairs,False
36,Terça-Feira,2011-05-31,Climb_stairs,False
37,Terça-Feira,2011-05-31,Climb_stairs,False
38,Terça-Feira,2011-05-31,Climb_stairs,False
39,Terça-Feira,2011-05-31,Climb_stairs,False
40,Quinta-Feira,2011-06-02,Climb_stairs,False
41,Quinta-Feira,2011-06-02,Climb_stairs,False
42,Quinta-Feira,2011-06-02,Climb_stairs,False
43,Quinta-Feira,2011-06-02,Climb_stairs,False
44,Segunda-Feira,2011-06-06,Climb_stairs,False
45,Segunda-Feira,2011-06-06,Climb_stairs,False
46,Segunda-Feira,2011-06-06,Climb_stairs,False
47,Segunda-Feira,2011-06-06,Climb_stairs,False
48,Segunda-Feira,2011-06-06,Climb_stairs,False
49,Segunda-Feira,2011-06-06,Climb_stairs,False
50,Segunda-Feira,2011-06-06,Climb_stairs,False
51,Segunda-Feira,2012-05-28,Climb_stairs,False
52,Segunda-Feira,2012-05-28,Climb_stairs,False
53,Terça-Feira,2012-05-29,Climb_stairs,False
54,Terça-Feira,2012-05-29,Climb_stairs,False
55,Terça-Feira,2012-05-29,Climb_stairs,False
56,Terça-Feira,2012-05-29,Climb_stairs,False
57,Quarta-feira,2012-05-30,Climb_stairs,False
58,Quarta-feira,2012-05-30,Climb_stairs,False
59,Quarta-feira,2012-05-30,Climb_stairs,False
60,Quarta-feira,2012-05-30,Climb_stairs,False
61,Quarta-feira,2012-05-30,Climb_stairs,False
62,Quarta-feira,2012-05-30,Climb_stairs,False
63,Quarta-feira,2012-05-30,Climb_stairs,False
64,Quarta-feira,2012-05-30,Climb_stairs,False
65,Quarta-feira,2012-05-30,Climb_stairs,False
66,Quarta-feira,2012-05-30,Climb_stairs,False
67,Quarta-feira,2012-05-30,Climb_stairs,False
68,Quarta-feira,2012-05-30,Climb_stairs,False
69,Quarta-feira,2012-05-30,Climb_stairs,False
70,Quarta-feira,2012-06-06,Climb_stairs,False
71,Quarta-feira,2012-06-06,Climb_stairs,False
72,Quarta-feira,2012-06-06,Climb_stairs,False
73,Quarta-feira,2012-06-06,Climb_stairs,False
74,Quarta-feira,2012-06-06,Climb_stairs,False
75,Quarta-feira,2012-06-06,Climb_stairs,False
76,Quarta-feira,2012-06-06,Climb_stairs,False
77,Quarta-feira,2012-06-06,Climb_stairs,False
78,Quarta-feira,2012-06-06,Climb_stairs,False
79,Quarta-feira,2012-06-06,Climb_stairs,False
80,Quarta-feira,2012-06-06,Climb_stairs,False
81,Quarta-feira,2012-06-06,Climb_stairs,False
82,Quarta-feira,2012-06-06,Climb_stairs,False
83,Quarta-feira,2012-06-06,Climb_stairs,False
84,Quarta-feira,2012-06-06,Climb_stairs,False
85,Quarta-feira,2012-06-06,Climb_stairs,False
86,Quarta-feira,2012-06-06,Climb_stairs,False
87,Quarta-feira,2012-06-06,Climb_stairs,False
88,Quarta-feira,2012-06-06,Climb_stairs,False
89,Quarta-feira,2012-06-06,Climb_stairs,False
90,Quarta-feira,2012-06-06,Climb_stairs,False
91,Quarta-feira,2012-06-06,Climb_stairs,False
92,Quarta-feira,2012-06-06,Climb_stairs,False
93,Quarta-feira,2012-06-06,Climb_stairs,False
94,Quarta-feira,2012-06-06,Climb_stairs,False
95,Quarta-feira,2012-06-06,Climb_stairs,False
96,Quarta-feira,2012-06-06,Climb_stairs,False
97,Quarta-feira,2012-06-06,Climb_stairs,False
98,Quarta-feira,2012-06-06,Climb_stairs,False
99,Quarta-feira,2012-06-06,Climb_stairs,False
100,Quarta-feira,2012-06-06,Climb_stairs,False
101,Quarta-feira,2012-06-06,Climb_stairs,False
102,Quarta-feira,2012-06-06,Climb_stairs,False
103,Quarta-feira,2012-06-06,Climb_stairs,False
104,Quarta-feira,2012-06-06,Climb_stairs,False
105,Quarta-feira,2012-06-06,Climb_stairs,False
106,Quinta-Feira,2012-06-07,Climb_stairs,False
107,Quinta-Feira,2012-06-07,Climb_stairs,False
108,Quinta-Feira,2012-06-07,Climb_stairs,False
109,Quinta-Feira,2012-06-07,Climb_stairs,False
110,Quinta-Feira,2012-06-07,Climb_stairs,False
111,Quinta-Feira,2012-06-07,Climb_stairs,False
112,Quinta-Feira,2012-06-07,Climb_stairs,False
113,Quinta-Feira,2012-06-07,Climb_stairs,False
114,Quinta-Feira,2011-03-24,Climb_stairs,True
115,Quinta-Feira,2011-03-24,Climb_stairs,True
116,Terça-Feira,2011-03-29,Climb_stairs,True
117,Terça-Feira,2011-04-05,Climb_stairs,True
118,Terça-Feira,2011-04-05,Climb_stairs,True
119,Segunda-Feira,2011-04-11,Climb_stairs,True
120,Segunda-Feira,2011-05-30,Climb_stairs,True
121,Segunda-Feira,2012-05-28,Climb_stairs,True
122,Segunda-Feira,2012-05-28,Climb_stairs,True
123,Quarta-feira,2012-05-30,Climb_stairs,True
124,Quarta-feira,2012-05-30,Climb_stairs,True
125,Quarta-feira,2012-06-06,Climb_stairs,True
126,Quarta-feira,2012-06-06,Climb_stairs,True
127,Quarta-feira,2012-06-06,Climb_stairs,True
128,Quarta-feira,2012-06-06,Climb_stairs,True
129,Quarta-feira,2012-06-06,Climb_stairs,True
130,Quarta-feira,2012-06-06,Climb_stairs,True
131,Quarta-feira,2012-06-06,Climb_stairs,True
132,Quarta-feira,2012-06-06,Climb_stairs,True
133,Quarta-feira,2012-06-06,Climb_stairs,True
134,Quinta-Feira,2011-03-24,Comb_hair,False
135,Quinta-Feira,2011-03-24,Comb_hair,False
136,Quinta-Feira,2011-03-24,Comb_hair,False
137,Quinta-Feira,2011-03-24,Comb_hair,False
138,Terça-Feira,2011-03-29,Comb_hair,False
139,Segunda-Feira,2011-04-11,Comb_hair,False
140,Segunda-Feira,2011-05-30,Comb_hair,False
141,Segunda-Feira,2011-05-30,Comb_hair,False
142,Segunda-Feira,2011-05-30,Comb_hair,False
143,Segunda-Feira,2011-05-30,Comb_hair,False
144,Segunda-Feira,2011-05-30,Comb_hair,False
145,Terça-Feira,2011-05-31,Comb_hair,False
146,Quinta-Feira,2011-06-02,Comb_hair,False
147,Quinta-Feira,2011-06-02,Comb_hair,False
148,Quinta-Feira,2011-06-02,Comb_hair,False
149,Quinta-Feira,2011-06-02,Comb_hair,False
150,Quinta-Feira,2011-06-02,Comb_hair,False
151,Quinta-Feira,2011-06-02,Comb_hair,False
152,Quinta-Feira,2011-06-02,Comb_hair,False
153,Quinta-Feira,2011-06-02,Comb_hair,False
154,Quinta-Feira,2011-06-02,Comb_hair,False
155,Quinta-Feira,2011-06-02,Comb_hair,False
156,Quinta-Feira,2011-06-02,Comb_hair,False
157,Quinta-Feira,2011-06-02,Comb_hair,False
158,Quinta-Feira,2011-06-02,Comb_hair,False
159,Quinta-Feira,2011-06-02,Comb_hair,False
160,Quinta-Feira,2011-06-02,Comb_hair,False
161,Segunda-Feira,2011-06-06,Comb_hair,False
162,Segunda-Feira,2011-06-06,Comb_hair,False
163,Segunda-Feira,2011-06-06,Comb_hair,False
164,Segunda-Feira,2011-06-06,Comb_hair,False
165,Quinta-Feira,2011-03-24,Descend_stairs,False
166,Quinta-Feira,2011-03-24,Descend_stairs,False
167,Quinta-Feira,2011-03-24,Descend_stairs,False
168,Terça-Feira,2011-03-29,Descend_stairs,False
169,Terça-Feira,2011-03-29,Descend_stairs,False
170,Terça-Feira,2011-03-29,Descend_stairs,False
171,Terça-Feira,2011-03-29,Descend_stairs,False
172,Terça-Feira,2011-03-29,Descend_stairs,False
173,Terça-Feira,2011-04-05,Descend_stairs,False
174,Segunda-Feira,2011-04-11,Descend_stairs,False
175,Segunda-Feira,2011-04-11,Descend_stairs,False
