,TipoMovimento,Sexo
0,Brush_teeth,feminino
1,Brush_teeth,masculino
2,Climb_stairs,feminino
3,Climb_stairs,masculino
4,Comb_hair,feminino
5,Comb_hair,masculino
6,Descend_stairs,feminino
7,Descend_stairs,masculino
8,Drink_glass,feminino
9,Drink_glass,masculino
10,Eat_meat,feminino
11,Eat_soup,feminino
12,Getup_bed,feminino
13,Getup_bed,masculino
14,Liedown_bed,feminino
15,Liedown_bed,masculino
16,Pour_water,feminino
17,Pour_water,masculino
18,Sitdown_chair,feminino
19,Sitdown_chair,masculino
20,Standup_chair,feminino
21,Standup_chair,masculino
22,Use_telephone,feminino
23,Use_telephone,masculino
24,Walk,feminino
25,Walk,masculino
